# sheet: Sheet1
Food Group Code ,NDB,Yield Description,Preparation Method1, Cooking Yield %,n,SD,Yield Minimum %,Yield Maximum %,Moisture Gain/ Loss %,Fat   Gain/ Loss %,Release Year2
17.0,5642.0,"Ostrich, ground",Broiled or grilled,86.0,6.0,2.5,81.0,88.0,-13.5,-2.7,2001.0
10.0,10193.0,"Pork loin, fresh, backribs, bone-in, separable lean and fat ","Baked or Roasted, unspecified",82.0,12.0,4.09,74.0,90.0,-18.5,1.3,2011.0
7.0,7064.0,"Pork sausage, fresh",Pan-fried,80.0,1.0,n/a,n/a,n/a,-16.5,-2.9,2012.0
10.0,10860.0,"Pork, cured, bacon","Baked or Roasted, unspecified",32.0,3.0,0.784,30.53,32.57,-35.53,-32.37,2003.0
10.0,10861.0,"Pork, cured, bacon",Microwaved,29.0,3.0,0.688,28.89,30.13,-34.75,-35.45,2003.0
10.0,10862.0,"Pork, cured, bacon",Pan-fried  ,32.0,1.0,n/a,n/a,n/a,-36.8,-28.6,2012.0
10.0,10865.0,"Pork, cured, ham -- water added, rump, bone-in","Baked or Roasted, unspecified",87.0,5.0,5.306,79.93,91.81,-14.88,-0.37,2009.0
10.0,10877.0,"Pork, cured, ham and water product, rump, bone-in","Baked or Roasted, unspecified",85.0,5.0,3.643,79.95,89.74,-15.4,0.54,2009.0
10.0,10881.0,"Pork, cured, ham and water product, shank, bone-in","Baked or Roasted, unspecified",82.0,6.0,6.216,73.51,91.98,-17.07,-0.54,2009.0
10.0,10869.0,"Pork, cured, ham and water product, slice, bone-in",Pan-broiled,81.0,5.0,4.531,75.89,86.73,-18.71,-0.86,2009.0
10.0,10871.0,"Pork, cured, ham and water product, whole, boneless","Baked or Roasted, unspecified",96.0,4.0,2.371,92.73,97.98,-3.68,0.42,2009.0
10.0,10873.0,"Pork, cured, ham with natural juices, rump, bone-in","Baked or Roasted, unspecified",87.0,7.0,4.912,81.11,96.81,-11.35,0.2,2009.0
10.0,10874.0,"Pork, cured, ham with natural juices, shank, bone-in","Baked or Roasted, unspecified",93.0,7.0,3.23,88.43,98.26,-8.46,1.28,2009.0
10.0,10875.0,"Pork, cured, ham with natural juices, slice, bone-in",Pan-broiled,86.0,2.0,0.412,85.78,86.36,-13.6,0.9,2009.0
