retention_code,food_group_code,retention_description,nutrient_code,nutrient_description,retention_percent,add_mod_date
0103,01,"EGGS,FRIED,SCRAMBLED",401,"Vitamin C, total ascorbic acid",80,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",404,Thiamin,85,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",405,Riboflavin,95,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",406,Niacin,95,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",415,Vitamin B-6,95,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",417,"Folate, total",75,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",431,Folic acid,75,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",432,"Folate, food",75,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",421,"Choline, total",85,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",418,Vitamin B-12,85,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",318,"Vitamin A, IU",100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",392,"Vitamin A, RE",100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",221,"Alcohol, ethyl",100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",321,"Carotene, beta",100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",322,"Carotene, alpha",100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",334,"Cryptoxanthin, beta",100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",337,Lycopene,100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",338,Lutein + zeaxanthin,100,09/1975
0105,01,"EGGS,HARD COOKED",301,"Calcium, Ca",100,09/1975
0105,01,"EGGS,HARD COOKED",303,"Iron, Fe",100,09/1975
0105,01,"EGGS,HARD COOKED",304,"Magnesium, Mg",100,09/1975
0105,01,"EGGS,HARD COOKED",305,"Phosphorus, P",100,09/1975
0105,01,"EGGS,HARD COOKED",306,"Potassium, K",100,09/1975
0105,01,"EGGS,HARD COOKED",307,"Sodium, Na",100,09/1975
0105,01,"EGGS,HARD COOKED",309,"Zinc, Zn",100,09/1975
0105,01,"EGGS,HARD COOKED",312,"Copper, Cu",100,09/1975
0105,01,"EGGS,HARD COOKED",401,"Vitamin C, total ascorbic acid",80,09/1975
0105,01,"EGGS,HARD COOKED",404,Thiamin,85,09/1975
0105,01,"EGGS,HARD COOKED",405,Riboflavin,95,09/1975
0105,01,"EGGS,HARD COOKED",406,Niacin,95,09/1975
0105,01,"EGGS,HARD COOKED",415,Vitamin B-6,95,09/1975
0105,01,"EGGS,HARD COOKED",417,"Folate, total",75,09/1975
0105,01,"EGGS,HARD COOKED",431,Folic acid,75,09/1975
0105,01,"EGGS,HARD COOKED",432,"Folate, food",75,09/1975
0105,01,"EGGS,HARD COOKED",421,"Choline, total",80,09/1975
0105,01,"EGGS,HARD COOKED",418,Vitamin B-12,85,09/1975
0105,01,"EGGS,HARD COOKED",318,"Vitamin A, IU",100,09/1975
0105,01,"EGGS,HARD COOKED",392,"Vitamin A, RE",100,09/1975
0105,01,"EGGS,HARD COOKED",221,"Alcohol, ethyl",100,09/1975
0105,01,"EGGS,HARD COOKED",321,"Carotene, beta",100,09/1975
